Player Name,GP,G,A.,Pts,PIM,Seasons,Yrs.,Pos.,Birthdate,Birthplace
Christian Folin,35,1,5,6,24,2018-2020,2,D,1991-02-09,"Gothenburg, Sweden"
Lou Fontinato,117,4,21,25,308,1961-1963,2,D,1932-01-20,"Guelph, ONT"
Charles Fortier,1,0,0,0,0,1923-1924,1,,1892-08-04,"Rockland, ONT"
Bob Frampton,2,0,0,0,0,1949-1950,1,L,1929-01-20,"Toronto, ONT"
Gord Fraser,10,0,0,0,4,1929-1930,1,D,1902-01-03,"Pembroke, ONT"
Scott Fraser,14,2,0,2,4,1995-1996,1,R,1972-05-03,"Moncton, NB"
Irv Frew,18,0,2,2,16,1935-1936,1,D,1907-08-16,"Kilsyth, Scotland"
Byron Froese,48,3,8,11,26,2017-2018,1,C,1991-03-12,"Winkler, MAN"
Michael Frolik,8,0,0,0,0,2020-2021,1,R,1988-02-17,"Kladno, Czech Rep."
Bob Fryday,5,1,0,1,0,1949-1952,2,R,1928-12-05,"Toronto, ONT"
Art Gagne,132,41,16,57,169,1926-1929,3,R,1897-10-11,"Ottawa, ONT"
Germain Gagnon,4,0,0,0,0,1971-1972,1,L,1942-12-09,"Chicoutimi, PQ"
Johnny Gagnon,406,115,137,252,286,1930-1940,10,R,1905-06-08,"Chicoutimi, PQ"
Bob Gainey,1160,239,262,501,585,1973-1989,16,F,1953-12-13,"Peterborough, ONT"
Alex Galchenyuk,418,108,147,255,151,2012-2018,6,C,1994-02-12,"Milwaukee, WI"
Brendan Gallagher,723,210,201,411,489,2012-2024,12,R,1992-05-06,"Edmonton, ALTA"
Dick Gamble,178,38,41,79,60,1950-1956,6,L,1928-11-19,"Moncton, NB"
Perry Ganchar,1,1,0,1,0,1987-1988,1,R,1963-10-28,"Saskatoon, SASK"
Bert Gardiner,52,0,0,0,0,1940-1942,2,G,1913-03-25,"Saskatoon, SASK"
Herb Gardiner,96,10,9,19,52,1926-1929,3,D,1891-05-10,"Winnipeg, MAN"
Dave Gardner,36,2,11,13,2,1972-1974,2,C,1952-08-23,"Toronto, ONT"
Mathieu Garon,43,0,0,0,2,2000-2004,4,G,1978-01-09,"Chandler, PQ"
Leo Gaudreault,71,8,4,12,30,1927-1933,3,L,1905-10-19,"Chicoutimi, PQ"
"Art ""Nosey"" Gauthier",13,0,0,0,0,1926-1927,1,C,1904-10-10,"Espanola, ONT"
Fern Gauthier,50,18,13,31,23,1944-1945,1,R,1919-08-31,"Chicoutimi, PQ"
Jean Gauthier,90,1,20,21,68,1960-1970,8,D,1937-04-29,"Montreal, PQ"
Luc Gauthier,3,0,0,0,2,1990-1991,1,D,1964-04-19,"Longueuil, PQ"
Paul Gauthier,1,0,0,0,0,1937-1938,1,G,1915-12-08,"Winnipeg, MAN"
Jocelyn Gauvreau,2,0,0,0,0,1983-1984,1,D,1964-03-04,"Masham, PQ"
Jean-Guy Gendron,43,9,12,21,51,1960-1961,1,L,1934-08-30,"Montreal, PQ"
"Bernie ""Boom-Boom"" Geoffrion",766,371,388,759,636,1950-1964,14,R,1931-02-14,"Montreal, PQ"
Blake Geoffrion,13,2,0,2,10,2011-2012,1,L,1988-02-03,"Plantation, FL"
Dan Geoffrion,32,0,6,6,12,1979-1980,1,R,1958-01-24,"Montreal, PQ"
Ray Getliffe,265,99,97,196,203,1939-1945,6,L,1914-04-03,"Galt, ONT"
Tom Gilbert,117,5,9,14,42,2014-2016,2,D,1983-01-10,"Bloomington, MN"
Brent Gilchrist,236,46,67,113,111,1988-1992,4,C,1967-04-03,"Moose Jaw, SASK"
Hal Gill,196,5,23,28,140,2009-2012,3,D,1975-04-06,"Concord, MA"
Doug Gilmour,131,21,50,71,84,2001-2003,2,C,1963-06-25,"Kingston, ONT"
Gaston Gingras,247,34,102,136,111,1979-1988,7,D,1959-02-13,"Temiscaming, PQ"
Brian Gionta,303,97,76,173,96,2009-2014,5,R,1979-01-18,"Rochester, NY"
Art Giroux,40,5,2,7,14,1932-1933,1,R,1908-06-06,"Quebec, PQ"
Howie Glover,1,0,0,0,0,1968-1969,1,R,1935-02-14,"Toronto, ONT"
Sammy Godin,36,2,2,4,15,1933-1934,1,R,1909-09-20,"Rockland, ONT"
Leroy Goldsworthy,80,35,20,55,21,1934-1936,2,R,1908-10-18,"Two Harbors, MN"
Glenn Goldup,18,0,1,1,4,1973-1976,3,F,1953-04-26,"Toronto, ONT"
Scott Gomez,196,21,87,108,122,2009-2012,3,C,1979-12-23,"Anchorage, AK"
Sergei Gonchar,45,1,12,13,16,2014-2015,1,D,1974-04-13,"Chelyabinsk, Russia"
Josh Gorges,464,13,75,88,192,2006-2014,8,D,1984-08-14,"Kelowna, BC"
Cliff Goupille,222,12,28,40,256,1935-1943,8,D,1915-09-02,"Trois-Rivieres, PQ"
Phil Goyette,375,62,120,182,44,1956-1963,7,C,1933-10-31,"Lachine, PQ"
Tony Graboski,66,6,10,16,24,1940-1943,3,D,1916-05-29,"Timmins, ONT"
Mikhail Grabovski,27,3,6,9,8,2006-2008,2,C,1984-01-31,"Potsdam, Germany"
Bob Gracie,7,0,1,1,4,1938-1939,1,C,1910-11-08,"North Bay, ONT"
Danny Grant,23,3,4,7,10,1965-1968,2,R,1945-02-21,"Fredericton, NB"
Benoit Gratton,12,1,1,2,12,2001-2004,2,C,1976-12-28,"Montreal, PQ"
Leo Gravelle,205,43,32,75,36,1946-1951,5,R,1925-06-10,"Aylmer, PQ"
Terry Gray,4,0,0,0,6,1963-1964,1,R,1938-03-21,"Montreal, PQ"
Rick Green,399,10,79,89,183,1982-1989,7,D,1956-02-20,"Belleville, ONT"
Lucien Grenier,23,2,3,5,2,1968-1970,2,R,1946-11-03,"Malartic, PQ"
Francois Groleau,8,0,1,1,6,1995-1998,3,D,1973-01-23,"Longueuil, PQ"
Leonard Grosvenor,4,0,0,0,0,1932-1933,1,C,1905-07-21,"Ottawa, ONT"
Kaiden Guhle,89,8,22,30,64,2022-2024,2,D,2002-01-18,"Edmonton, ALTA"
Miloslav Guren,36,1,3,4,16,1998-2000,2,D,1976-09-24,"Hradiste, Czech Rep."
Denis Gurianov,23,5,3,8,6,2022-2023,1,R,1997-06-07,"Tolyatti, Russia"
Erik Gustafsson,5,0,2,2,0,2020-2021,1,D,1992-03-14,"Nynashamn, Sweden"
Jeff Hackett,161,0,2,2,12,1998-2003,5,G,1968-06-01,"London, ONT"
Jim Haggerty,5,1,1,2,0,1941-1942,1,L,1914-04-14,"Port Arthur, ONT"
Ron Hainsey,32,1,1,2,6,2002-2004,2,D,1981-03-24,"Bolton, CT"
George Hainsworth,318,0,0,0,2,1926-1937,8,G,1895-06-26,"Toronto, ONT"
Jaroslav Halak,101,0,1,1,2,2006-2010,4,G,1985-05-13,"Bratislava, Slovakia"
Joe Hall,37,15,1,16,145,1917-1919,2,D,1881-05-03,"Staffordshire, England"
Kevin Haller,149,17,25,42,252,1991-1994,3,D,1970-12-05,"Trochu, ALTA"
Jeff Halpern,88,12,16,28,31,2010-2013,2,C,1976-05-03,"Washington, DC"
Jean Hamel,79,1,12,13,92,1983-1984,1,D,1952-06-06,"Asbestos, PQ"
Chuck Hamilton,1,0,0,0,0,1961-1962,1,R,1939-01-18,"Kirkland Lake, ONT"
Andrew Hammond,4,0,0,0,0,2021-2022,1,G,1988-02-11,"Surrey, BC"
Roman Hamrlik,312,22,97,119,237,2007-2011,4,D,1974-04-12,"Zlin, Czech Rep."
Joel Hanley,17,0,6,6,4,2015-2017,2,D,1991-06-08,"Keswick, ONT"
John Hanna,6,0,0,0,2,1963-1964,1,D,1935-04-05,"Sydney, NS"
Glen Harmon,452,50,96,146,334,1942-1951,9,D,1921-01-02,"Holland, MAN"
Terry Harper,554,14,112,126,805,1962-1972,10,D,1940-01-27,"Regina, SASK"
"Leland ""Hago"" Harrington",24,1,1,2,2,1932-1933,1,L,1904-08-13,"Melrose, MA"
Jordan Harris,105,6,18,24,50,2021-2024,3,D,2000-07-07,"Haverhill, MA"
Ted Harris,407,18,95,113,576,1963-1970,7,D,1936-07-18,"Winnipeg, MAN"
"Harold ""Gizzy"" Hart",94,6,8,14,12,1926-1933,3,L,1902-06-01,"Weyburn, SASK"
Doug Harvey,890,76,371,447,1042,1947-1961,14,D,1924-12-19,"Montreal, PQ"
Rafael Harvey-Pinard,60,16,11,27,16,2021-2024,3,L,1999-01-06,"Saguenay, PQ"
Paul Haynes,220,33,100,133,120,1935-1941,6,C,1910-03-01,"Montreal, PQ"
Brian Hayward,141,0,4,4,40,1986-1990,4,G,1960-06-25,"Georgetown, ONT"
Fern Headley,11,0,1,1,2,1924-1925,1,D,1901-03-02,"Crystal, ND"
Gerald Heffernan,83,33,35,68,27,1941-1944,3,R,1916-07-24,"Montreal, PQ"
Emil Heineman,4,0,0,0,0,2023-2024,1,L,2001-11-16,"Leksand, Sweden"
Ales Hemsky,7,0,0,0,10,2017-2018,1,R,1983-08-13,"Pardubice, Czech Rep."
Alex Henry,2,0,0,0,10,2008-2009,1,D,1979-10-18,"Elliot Lake, ONT"
"Robert ""Red"" Heron",12,1,1,2,12,1941-1942,1,L,1917-12-31,"Toronto, ONT"
Denis Herron,86,0,2,2,4,1979-1982,3,G,1952-06-18,"Chambly, PQ"
Bill Hicke,318,69,100,169,176,1958-1965,7,R,1938-03-31,"Regina, SASK"
Wayne Hicks,2,0,0,0,0,1963-1964,1,R,1937-04-09,"Aberdeen, WA"
Chris Higgins,282,84,67,151,96,2003-2009,5,L,1983-06-02,"Smithtown, NY"
Matt Higgins,57,1,2,3,6,1997-2001,4,C,1977-10-29,"Calgary, ALTA"
Sean Hill,31,2,6,8,54,1990-1993,3,D,1970-02-14,"Duluth, MN"
"Wilbert ""Dutch"" Hiller",135,35,33,68,28,1942-1946,3,L,1915-05-11,"Kitchener, ONT"
Cam Hillis,1,0,0,0,0,2021-2022,1,C,2000-06-24,"Oshawa, ONT"
Larry Hillman,25,0,5,5,17,1968-1969,1,D,1937-02-05,"Kirkland Lake, ONT"
Bert Hirschfeld,33,1,4,5,2,1949-1951,2,L,1929-03-01,"Halifax, NS"
Charlie Hodge,236,0,0,0,6,1954-1967,9,G,1933-07-28,"Lachine, PQ"
Cecil Hoekstra,4,0,0,0,0,1959-1960,1,L,1935-04-02,"Winnipeg, MAN"
Mike Hoffman,134,29,40,69,60,2021-2023,2,C,1989-11-24,"Kitchener, ONT"
Dale Hoganson,46,0,2,2,4,1971-1973,2,D,1949-07-08,"North Battleford, SASK"
Jonas Hoglund,102,14,15,29,22,1997-1999,2,L,1972-08-29,"Karlstad, Sweden"
Mark Holden,4,0,0,0,0,1981-1984,3,G,1957-06-12,"Weymouth, MA"
Patrick Holland,5,0,0,0,0,2013-2014,1,R,1992-01-07,"Lethbridge, ALTA"
"George ""Bud"" Holloway",1,0,0,0,0,2015-2016,1,R,1988-03-01,"Wapella, SASK"
Bill Holmes,9,1,0,1,2,1925-1926,1,C,1899-03-09,"Portage la Prairie, MAN"
Bronco Horvath,1,0,0,0,0,1956-1957,1,C,1930-03-12,"Port Colborne, ONT"
Marcel Hossa,59,10,9,19,24,2001-2004,3,L,1981-10-12,"Ilava, Slovakia"
Eric Houde,30,2,3,5,4,1996-1999,3,C,1976-12-19,"Montreal, PQ"
Rejean Houle,635,161,247,408,395,1969-1983,11,R,1949-10-25,"Rouyn-Noranda, PQ"
Fran Huck,7,1,2,3,0,1969-1971,2,C,1945-12-04,"Regina, SASK"
Charles Hudon,125,14,27,41,56,2015-2020,5,L,1994-06-23,"Alma, PQ"
Cristobal Huet,117,0,2,2,0,2005-2008,3,G,1975-09-03,"St-Martin-d'Heres, France"
Pat Hughes,44,9,8,17,24,1977-1979,2,F,1955-03-25,"Calgary, ALTA"
Mark Hunter,196,53,35,88,381,1981-1985,4,F,1962-11-12,"Petrolia, ONT"
Ivan Irwin,4,0,1,1,0,1952-1953,1,D,1927-03-13,"Chicago, IL"
Raitis Ivanans,4,0,0,0,9,2005-2006,1,L,1979-01-03,"Riga, Latvia"
Pat Jablonski,40,0,1,1,2,1995-1997,2,G,1967-06-20,"Toledo, OH"
Doug Janik,2,0,0,0,2,2008-2009,1,D,1980-03-26,"Springfield, MA"
Martti Jarventie,1,0,0,0,0,2001-2002,1,D,1976-04-04,"Tampere, Finland"
Doug Jarvis,560,91,154,245,151,1975-1982,7,C,1955-03-24,"Brantford, ONT"
Roger Jenkins,55,4,6,10,71,1934-1937,2,D,1911-11-18,"Appleton, WI"
Jakub Jerabek,25,1,3,4,6,2017-2018,1,D,1991-05-12,"Plzen, Czech Rep."
"Rosario ""Kitoute"" Joannette",2,0,1,1,4,1944-1945,1,C,1919-07-27,"Valleyfield, PQ"
Don Johns,1,0,0,0,0,1965-1966,1,D,1937-12-13,"St. George, ONT"
Al Johnson,2,0,1,1,2,1956-1957,1,R,1935-03-30,"Winnipeg, MAN"
Mike Johnson,80,11,20,31,40,2006-2007,1,R,1974-10-03,"Scarborough, ONT"
Tom Johnson,858,47,183,230,897,1947-1963,15,D,1928-02-18,"Baldur, MAN"
Ryan Johnston,10,0,0,0,4,2015-2017,2,D,1992-02-14,"Sudbury, ONT"
Aurel Joliat,654,270,190,460,757,1922-1938,16,L,1901-08-29,"Ottawa, ONT"
Bobby Joliat,1,0,0,0,0,1924-1925,1,R,1898-04-25,"Ottawa, ONT"
Yvan Joly,2,0,0,0,0,1979-1983,3,R,1960-02-06,"Hawkesbury, ONT"
Jean-Francois Jomphe,6,0,0,0,0,1998-1999,1,C,1972-12-28,"Havre St. Pierre, PQ"
Joe Juneau,212,19,54,73,50,2001-2004,3,C,1968-01-05,"Pont-Rouge, PQ"
Noah Juulsen,44,2,6,8,10,2017-2019,2,D,1997-04-02,"Surrey, BC"
Tomas Kaberle,53,3,22,25,10,2011-2013,2,D,1978-03-02,"Rakovnik, Czech Rep."
Vern Kaiser,50,7,5,12,33,1950-1951,1,D,1925-09-28,"Preston, ONT"
Mike Karakas,5,0,0,0,0,1939-1940,1,G,1911-12-12,"Aurora, MN"
Mike Keane,506,90,179,269,496,1988-1996,8,R,1967-05-29,"Winnipeg, MAN"
Chad Kilger,214,28,40,68,96,2000-2004,4,C,1976-11-27,"Cornwall, ONT"
Dwight King,17,1,0,1,2,2016-2017,1,L,1989-07-05,"Meadow Lake, SASK"
Frank King,10,1,0,1,2,1950-1951,1,D,1929-03-07,"Toronto, ONT"
Keith Kinkaid,6,0,0,0,0,2019-2020,1,G,1989-07-04,"Farmingville, NY"
Marko Kiprusoff,24,0,4,4,8,1995-1996,1,D,1972-06-06,"Turku, Finland"
Bill Kitchen,12,0,0,0,13,1981-1984,3,D,1960-10-12,"Schomberg, ONT"
Patric Kjellberg,7,0,0,0,2,1992-1993,1,L,1969-06-17,"Trelleborg, Sweden"
Saku Koivu,792,191,450,641,623,1995-2009,13,C,1974-11-23,"Turku, Finland"
Mike Komisarek,361,12,46,58,496,2002-2009,6,D,1982-01-19,"West Islip, NY"
John Kordic,115,7,10,17,335,1985-1989,4,D,1965-03-22,"Edmonton, ALTA"
Andrei Kostitsyn,379,99,111,210,171,2005-2012,7,R,1985-02-03,"Novopolotsk, Belarus"
Sergei Kostitsyn,155,24,44,68,123,2007-2010,3,R,1987-03-20,"Novopolotsk, Belarus"
Tom Kostopoulos,145,15,20,35,219,2007-2009,2,R,1979-01-24,"Mississauga, ONT"
Jesperi Kotkaniemi,171,22,40,62,61,2018-2021,3,C,2000-07-06,"Pori, Finland"
Johnathan Kovacevic,118,9,14,23,57,2022-2024,2,D,1997-07-12,"Hamilton, ONT"
Ilya Kovalchuk,22,6,7,13,2,2019-2020,1,L,1983-04-15,"Tver, Russia"
Andrei Kovalenko,51,17,17,34,33,1995-1996,1,R,1970-06-07,"Gorky, Russia"
Alexei Kovalev,314,103,161,264,310,2003-2009,5,R,1973-02-24,"Togliatti, Russia"
Brett Kulak,215,11,34,45,96,2018-2022,4,D,1994-01-06,"Edmonton, ALTA"
Les Kuntar,6,0,0,0,2,1993-1994,1,G,1969-07-28,"Elmira, NY"
Tom Kurvers,138,17,58,75,68,1984-1987,3,D,1962-10-14,"Minneapolis, MN"
Patrick Labrecque,2,0,0,0,2,1995-1996,1,G,1971-03-06,"La Salle, PQ"
Elmer Lach,664,215,408,623,478,1940-1954,14,C,1918-01-22,"Nokomis, SASK"
Scott Lachance,74,1,7,8,33,1998-2000,2,D,1972-10-22,"Charlottesville, VA"
Alphonse Lacroix,5,0,0,0,0,1925-1926,1,G,1898-10-21,"Newton, MA"
Christian Laflamme,54,0,5,5,50,1999-2001,2,D,1976-11-24,"Saint-Charles, PQ"
Guy Lafleur,961,518,728,1246,381,1971-1985,14,R,1951-09-20,"Thurso, PQ"
Rene Lafleur,1,0,0,0,0,1924-1925,1,,,
Ernie Laforce,1,0,0,0,0,1942-1943,1,D,1916-06-23,"Montreal, PQ"
Claude LaForge,5,0,0,0,0,1957-1958,1,L,1936-07-01,"Sorel, PQ"
Del LaFrance,3,0,0,0,2,1933-1934,1,,,"Chapleau, ONT"
Leo Lafrance,17,1,0,1,2,1926-1928,2,,,"L'Isle-aux-Allumettes, PQ"
William Lagesson,3,0,1,1,0,2021-2022,1,D,1996-02-22,"Gothenburg, Sweden"
"Edward ""Newsy"" Lalonde",98,124,27,151,136,1917-1922,5,C,1887-10-31,"Cornwall, ONT"
Mike Lalor,197,5,29,34,231,1985-1989,4,D,1963-03-08,"Fort Erie, ONT"
Joe Lamb,7,3,2,5,4,1934-1935,1,R,1906-06-18,"Sussex, NB"
Mark Lamb,40,1,0,1,18,1994-1996,2,C,1964-08-03,"Ponteix, SASK"
Yvon Lambert,606,181,234,415,302,1972-1981,9,L,1950-05-20,"Drummondville, PQ"
Jean Lamirande,1,0,0,0,0,1954-1955,1,D,1923-08-21,"Shawinigan Falls, PQ"
Leo Lamoureux,235,19,79,98,149,1941-1947,6,D,1916-10-01,"Espanola, ONT"
Larry Landon,2,0,0,0,0,1983-1984,1,L,1958-05-04,"Niagara Falls, ONT"
Eric Landry,53,4,8,12,43,2000-2002,2,C,1975-01-20,"Gatineau, PQ"
Robert Lang,50,18,21,39,36,2008-2009,1,C,1970-12-19,"Teplice, Czech"
Darren Langdon,64,0,3,3,135,2003-2004,1,L,1971-01-08,"Deer Lake, NFLD"
Albert Langlois,177,2,29,31,130,1957-1961,4,D,1934-11-06,"Magog, PQ"
Charlie Langlois,37,0,0,0,14,1927-1928,1,D,,"Sudbury, ONT"
Rod Langway,268,26,101,127,347,1978-1982,4,D,1957-05-03,"Maag, Taiwan"
Jacques Laperriere,692,40,242,282,674,1962-1974,12,D,1941-11-22,"Rouyn-Noranda, PQ"
Maxim Lapierre,293,40,40,80,284,2005-2011,6,C,1985-03-29,"Montreal, PQ"
Guy Lapointe,777,166,406,572,812,1968-1982,14,D,1948-03-18,"Montreal, PQ"
Georges Laraque,61,1,4,5,89,2008-2010,2,L,1976-12-07,"Montreal, PQ"
Wildor Larochelle,404,81,63,144,197,1925-1936,11,R,1906-09-03,"Sorel, PQ"
"Michel ""Bunny"" Larocque",231,0,15,15,14,1973-1981,8,G,1952-04-06,"Hull, PQ"
Claude Larose,529,117,123,240,544,1962-1975,11,R,1943-03-02,"Hearst, ONT"
Pierre Larouche,236,110,126,236,59,1977-1982,5,F,1955-11-16,"Taschereau, PQ"
Guillaume Latendresse,232,48,37,85,137,2006-2010,4,R,1987-05-24,"Ste-Catherine, PQ"
Craig Laughlin,36,12,11,23,33,1981-1982,1,R,1958-05-04,"Toronto, ONT"
Jack Laviollette,18,2,0,2,0,1917-1918,1,,,
Hal Laycoe,133,4,11,15,81,1947-1951,4,D,1922-06-23,"Sutherland, SASK"
Jay Leach,7,0,0,0,5,2009-2010,1,D,1979-09-02,"Syracuse, NY"
Patrick Lebeau,2,1,1,2,0,1990-1991,1,L,1970-03-17,"Saint-Jerome, PQ"
Stephan Lebeau,313,104,139,243,79,1988-1994,6,C,1968-02-28,"Saint-Jerome, PQ"
Louis Leblanc,50,5,5,10,32,2011-2014,2,R,1991-01-26,"Pointe-Claire, PQ"
Jack LeClair,160,20,40,60,56,1954-1957,3,R,1929-05-30,"Quebec, PQ"
John LeClair,224,49,69,118,91,1990-1995,5,L,1969-07-05,"St. Albans, VT"
"Albert ""Battleship"" Leduc",342,57,32,89,574,1925-1935,9,D,1902-11-22,"Valleyfield, PQ"
Gary Leeman,51,10,23,33,31,1992-1994,2,D,1964-02-19,"Toronto, ONT"
Sylvain Lefebvre,200,11,42,53,182,1989-1992,3,D,1967-10-14,"Richmond, PQ"
Chuck Lefley,174,45,60,105,60,1970-1975,5,C,1950-01-20,"Winnipeg, MAN"
Roger Leger,180,17,51,68,69,1946-1950,4,D,1919-03-26,"L'Annonciation, PQ"
Artturi Lehkonen,396,74,75,149,104,2016-2022,6,L,1995-07-04,"Piikkio, Finland"
Jacques Lemaire,853,366,469,835,217,1967-1979,12,F,1945-09-07,"LaSalle, PQ"
Claude Lemieux,281,97,92,189,576,1983-1990,7,R,1965-07-16,"Buckingham, PQ"
Jocelyn Lemieux,35,4,3,7,61,1988-1990,2,L,1967-11-18,"Mont-Laurier, PQ"
"Alfred ""Pit"" Lepine",523,143,98,241,392,1925-1938,13,C,1901-07-30,"Bellevue, PQ"
Hector Lepine,33,5,2,7,2,1925-1926,1,,,
Brett Lernout,21,0,1,1,6,2015-2018,3,D,1995-09-24,"Winnipeg, MAN"
"Gaston ""Gus"" Leroux",2,0,0,0,0,1935-1936,1,D,1913-01-09,"Montreal, PQ"
Art Lesieur,98,4,2,6,50,1928-1936,4,D,1907-09-13,"Fall River, MA"
Otto Leskinen,6,0,0,0,0,2019-2021,2,D,1997-02-06,"Pieksamaki, Finland"
Lucas Lessio,12,1,1,2,2,2015-2016,1,L,1993-01-23,"Maple, ONT"
Doug Lewis,3,0,0,0,0,1946-1947,1,L,1921-03-03,"Winnipeg, MAN"
Juha Lind,60,4,6,10,8,1999-2001,2,L,1974-01-02,"Helsinki, Finland"
Trevor Linden,107,25,38,63,86,1999-2001,2,C,1970-04-11,"Medicine Hat, ALTA"
Charlie Lindgren,24,0,0,0,2,2015-2020,5,G,1993-12-18,"Lakeville, MN"
Bill Lindsay,32,1,5,6,46,2001-2003,2,W,1971-05-17,"Fernie, BC"
Gustav Lindstrom,14,3,1,4,6,2023-2024,1,D,1998-10-20,"Ostervala, Sweden"
David Ling,3,0,0,0,0,1996-1998,2,W,1975-01-09,"Halifax, NS"
Ed Litzenberger,34,8,4,12,14,1952-1955,3,R,1932-07-15,"Neudorf, SASK"
Jacques Locas,59,7,8,15,66,1947-1949,2,R,1926-02-12,"Montreal, PQ"
Corey Locke,1,0,0,0,0,2007-2008,1,C,1984-05-08,"Toronto, ONT"
Stan Long‡,,,,,,1951-1952,1,D,1929-11-06,"Owen Sound, ONT"
Rod Lorrain,179,28,39,67,30,1935-1942,6,R,,"Ottawa, ONT"
Ross Lowe,31,1,5,6,42,1950-1952,2,C,1928-09-21,"Oshawa, ONT"
Craig Ludwig,597,26,111,137,619,1982-1990,8,D,1961-03-15,"Rhinelander, WI"
Dave Lumley,3,0,0,0,0,1978-1979,1,F,1954-09-01,"Toronto, ONT"
Jyrki Lumme,75,2,22,24,51,1988-1990,2,D,1966-07-16,"Tampere, Finland"
Gilles Lupien,174,3,19,22,341,1977-1980,3,D,1954-04-20,"Brownsburg, PQ"
Vic Lynn,2,0,0,0,0,1945-1946,1,L,1925-01-26,"Saskatoon, SASK"
Hubert Macey,12,0,1,1,0,1946-1947,1,L,1921-04-13,"Big River, SASK"
Calum MacKay,231,50,55,105,214,1949-1955,6,W,1927-01-01,"Toronto, ONT"
Murdo MacKay,19,0,3,3,0,1945-1949,4,R,1916-08-08,"Fort William, ONT"
Bill MacKenzie,50,4,3,7,26,1936-1938,2,D,1912-12-12,"Winnipeg, MAN"
Al MacNeil,61,1,7,8,74,1961-1962,1,D,1935-09-27,"Sydney, NS"
"Jim ""Bud"" MacPherson",259,5,33,38,233,1948-1957,7,D,1927-03-21,"Edmonton, ALTA"
Johnny Mahaffy,9,2,5,7,4,1942-1945,2,C,1918-07-18,"Montreal, PQ"
Frank Mahovlich,263,129,181,310,145,1970-1974,4,L,1938-01-10,"Timmins, ONT"
Pete Mahovlich,581,223,346,569,695,1969-1978,9,L,1946-10-10,"Timmins, ONT"
Frank Mailley,1,0,0,0,0,1941-1942,1,,1916-08-01,"Lachine, PQ"
Fern Majeau,56,22,24,46,43,1943-1945,2,,,
Vladimir Malakhov,283,42,99,141,287,1994-2000,6,D,1968-08-30,"Sverdlovsk, Russia"
David Maley,51,6,12,18,55,1985-1987,2,L,1963-04-24,"Beaver Dam, WI"
Manny Malhotra,58,1,3,4,12,2014-2015,1,C,1980-05-18,"Mississauga, ONT"
Cliff Malone,3,0,0,0,0,1951-1952,1,R,1925-09-04,"Montreal, PQ"
Joe Malone,57,52,1,53,17,1917-1924,4,C,1890-02-28,"Quebec, PQ"
Tom Manastersky,6,0,0,0,11,1950-1951,1,D,1929-03-07,"Montreal, PQ"
"Felix ""Gus"" Mancuso",21,1,1,2,10,1937-1940,3,R,1914-04-01,"Niagara Falls, ONT"
Cesare Maniago,14,0,0,0,2,1962-1963,1,G,1939-01-13,"Trail, BC"
Dave Manson,101,5,33,38,193,1996-1999,3,D,1967-01-27,"Prince Albert, SASK"
Georges Mantha,498,89,102,191,148,1928-1941,13,L,1908-11-29,"Lachine, PQ"
Sylvio Mantha,537,63,72,135,665,1923-1936,13,D,1903-04-14,"Montreal, PQ"
Paul Mara,62,0,12,12,96,2009-2011,2,D,1979-09-07,"Ridgewood, NJ"
Andrei Markov,990,119,453,572,505,2000-2017,16,D,1978-12-20,"Voskresensk, Russia"
Don Marshall,585,114,140,254,81,1951-1963,10,C,1932-03-23,"Verdun, PQ"
Andreas Martinsen,9,0,0,0,0,2016-2017,1,L,1990-06-13,"Baerum, Norway"
Steve Martinson,38,1,0,1,151,1988-1990,2,R,1957-06-21,"Minnetonka, MN"
Paul Masnick,180,15,33,48,117,1950-1955,5,C,1931-04-14,"Regina, SASK"
Mike Matheson,97,15,53,68,75,2022-2024,2,D,1994-02-27,"Pointe-Claire, PQ"
Joe Matte,6,0,0,0,0,1925-1926,1,,,
Stefan Matteau,12,0,1,1,4,2015-2016,1,C,1994-02-23,"Chicago, IL"
Johnny Matz,30,3,2,5,0,1924-1925,1,,,
Ben Maxwell,20,0,0,0,8,2008-2010,2,C,1988-03-30,"North Vancouver, BC"
Eddie Mazur,92,8,19,27,116,1950-1955,5,L,1929-07-25,"Winnipeg, MAN"
Bert McCaffrey,50,3,4,7,36,1929-1931,2,D,,"Toronto, ONT"
Michael McCarron,69,2,6,8,110,2015-2018,3,R,1995-03-07,"Grosse Pointe, MI"
Walter McCartney,2,0,0,0,0,1932-1933,1,L,,"Weyburn, SASK"
Trent McCleary,58,1,0,1,33,1998-2000,2,R,1972-09-08,"Swift Current, SASK"
John McCormack,164,8,29,37,25,1951-1954,3,C,1925-08-02,"Edmonton, ALTA"
Bill McCreary,14,2,3,5,0,1962-1963,1,L,1934-12-02,"Sundridge, ONT"
Keith McCreary,9,0,3,3,4,1961-1965,2,L,1940-06-19,"Sundridge, ONT"
Bob McCully,1,0,0,0,0,1934-1935,1,D,1914-02-08,"Stratford, ONT"
Ab McDonald,137,22,36,58,61,1957-1960,3,L,1936-02-18,"Winnipeg, MAN"
Jack McDonald,37,17,4,21,18,1917-1922,4,,,
Irving McGibbon,1,0,0,0,2,1942-1943,1,R,1914-10-11,"Antigonish, NS"
Jack McGill,134,27,10,37,71,1934-1937,3,,1910-11-03,"Ottawa, ONT"
Randy McKay,75,6,13,19,72,2002-2003,1,R,1967-01-25,"Montreal, PQ"
Johnny McKinnon,2,0,0,0,0,1925-1926,1,D,,
